name,price,stock_quantity
Product_159,672.69,417
Product_160,506.93,57
Product_161,985.08,474
Product_162,233.57,393
Product_163,384.84,464
Product_164,620.3,54
Product_165,593.72,345
Product_166,961.08,335
Product_167,891.18,74
Product_168,470.62,367
Product_169,705.65,399
Product_170,633.27,11
Product_171,345.54,408
Product_172,210.18,51
Product_173,746.17,156
Product_174,62.74,444
Product_175,394.57,129
Product_176,484.33,279
Product_177,648.6,67
Product_178,897.02,200
Product_179,312.18,102
Product_180,282.03,397
Product_181,981.15,119
Product_182,235.71,379
Product_183,188.99,370
Product_184,825.88,225
Product_185,141.84,432
Product_186,979.75,382
Product_187,683.6,160
Product_188,172.47,458
Product_189,867.66,331
Product_190,797.51,397
Product_191,446.23,168
Product_192,254.96,290
Product_193,645.83,467
Product_194,841.64,42
Product_195,441.73,102
Product_196,231.25,306
Product_197,87.71,455
Product_198,893.76,195
Product_199,409.5,230
Product_200,767.94,349
Product_201,637.97,345
Product_202,357.12,140
Product_203,77.91,325
Product_204,421.47,99
Product_205,652.97,310
Product_206,421.65,271
Product_207,551.74,285
Product_208,176.31,76
Product_209,647.27,320
Product_210,347.09,464
Product_211,781.6,383
Product_212,341.49,103
Product_213,325.05,383
Product_214,485.82,361
Product_215,385.17,425
Product_216,901.16,120
Product_217,209.73,436
Product_218,983.54,468
Product_219,599.38,271
Product_220,202.2,381
Product_221,391.95,2
Product_222,498.17,19
Product_223,799.95,112
Product_224,878.19,107
Product_225,959.32,314
Product_226,574.98,216
Product_227,721.47,450
Product_228,811.58,154
Product_229,750.42,491
Product_230,457.22,67
Product_231,699.52,33
Product_232,769.18,37
Product_233,777.29,163
Product_234,403.05,296
Product_235,873.22,32
Product_236,233.73,174
Product_237,615.78,68
Product_238,994.94,11
Product_239,470.94,446
Product_240,946.98,157
Product_241,45.05,150
Product_242,349.43,92
Product_243,498.08,102
Product_244,732.95,48
Product_245,967.75,203
Product_246,58.85,407
Product_247,80.69,109
Product_248,225.79,327
Product_249,529.07,362
Product_250,735.78,116
Product_251,937.34,326
Product_252,81.17,283
Product_253,956.35,188
Product_254,626.8,54
Product_255,163.02,441
Product_256,548.02,494
Product_257,301.58,9
Product_258,56.15,210
Product_259,459.41,143
Product_260,974.64,6
Product_261,866.64,288
Product_262,87.41,137
Product_263,110.37,186
Product_264,744.63,153
Product_265,967.44,269
Product_266,131.13,219
Product_267,34.56,52
Product_268,82.91,269
Product_269,240.15,437
Product_270,861.38,392
Product_271,94.68,346
Product_272,906.79,341
Product_273,649.65,447
Product_274,229.06,478
Product_275,868.33,361
Product_276,570.58,84
Product_277,572.43,375
Product_278,450.45,487
Product_279,151.74,284
Product_280,95.74,359
Product_281,861.67,356
Product_282,794.45,180
Product_283,719.96,392
Product_284,717.72,148
Product_285,185.05,348
Product_286,998.52,237
Product_287,847.85,462
Product_288,238.46,168
Product_289,912.79,302
Product_290,305.66,290
Product_291,202.48,378
Product_292,711.71,485
Product_293,424.59,388
Product_294,94.72,173
Product_295,68.2,211
Product_296,330.26,353
Product_297,975.14,26
Product_298,800.65,265
Product_299,394.36,413
Product_300,800.15,39
Product_301,416.02,182
Product_302,702.79,281
Product_303,373.97,199
Product_304,953.73,36
Product_305,517.44,322
Product_306,349.88,298
Product_307,303.22,251
Product_308,999.16,321
Product_309,27.15,191
Product_310,136.58,22
Product_311,909.64,330
Product_312,492.3,256
Product_313,885.65,69
Product_314,661.37,438
Product_315,361.37,171
Product_316,700.15,452
Product_317,675.15,112
Product_318,322.56,206
Product_319,447.96,55
Product_320,720.19,307
Product_321,323.61,287
Product_322,708.67,19
Product_323,921.28,45
Product_324,55.81,481
Product_325,37.48,61
Product_326,848.11,31
Product_327,625.19,276
Product_328,227.12,383
Product_329,298.15,52
Product_330,502.2,269
Product_331,292.9,461
Product_332,656.48,404
Product_333,172.72,350
Product_334,772.92,80
Product_335,850.9,249
Product_336,776.8,414
Product_337,900.14,78
Product_338,510.21,269
Product_339,944.28,341
Product_340,440.64,124
Product_341,749.48,411
Product_342,605.2,193
Product_343,215.9,251
Product_344,722.87,142
Product_345,342.12,296
Product_346,383.91,179
Product_347,841.58,204
Product_348,497.52,280
Product_349,41.05,134
Product_350,743.73,476
Product_351,254.37,129
Product_352,807.99,266
Product_353,608.59,431
Product_354,364.96,428
Product_355,104.5,446
Product_356,692.64,369
Product_357,106.49,158
Product_358,510.52,331
Product_359,511.56,393
Product_360,403.26,236
Product_361,604.87,388
Product_362,343.99,198
Product_363,308.74,276
Product_364,37.2,275
Product_365,895.81,328
Product_366,865.72,439
Product_367,498.58,465
Product_368,850.43,367
Product_369,654.97,345
Product_370,322.52,315
Product_371,561.31,141
Product_372,234.48,6
Product_373,991.57,422
Product_374,780.75,254
Product_375,17.92,190
Product_376,680.05,206
Product_377,208.84,204
Product_378,741.46,401
Product_379,27.28,190
Product_380,595.89,326
Product_381,222.33,10
Product_382,184.82,251
Product_383,735.96,59
Product_384,871.66,305
Product_385,472.01,492
Product_386,968.57,187
Product_387,966.88,477
Product_388,933.86,87
Product_389,217.79,363
Product_390,183.69,464
Product_391,410.93,214
Product_392,727.22,264
Product_393,248.58,282
Product_394,493.37,2
Product_395,670.02,97
Product_396,495.78,114
Product_397,513.98,19
Product_398,439.11,479
Product_399,276.46,341
Product_400,724.19,444
Product_401,635.51,131
Product_402,907.64,495
Product_403,633.44,423
Product_404,654.73,129
Product_405,724.1,469
Product_406,510.06,403
Product_407,771.82,399
Product_408,952.37,332
Product_409,482.95,170
Product_410,187.54,419
Product_411,619.03,208
Product_412,675.8,395
Product_413,982.99,87
Product_414,98.77,128
Product_415,404.41,254
Product_416,21.44,276
Product_417,12.57,388
Product_418,497.6,179
Product_419,977.23,192
Product_420,238.79,12
Product_421,676.76,392
Product_422,965.81,337
Product_423,156.1,462
Product_424,35.46,40
Product_425,944.69,308
Product_426,411.65,445
Product_427,907.79,294
Product_428,299.59,160
Product_429,929.09,130
Product_430,185.47,95
Product_431,749.94,58
Product_432,145.93,8
Product_433,162.43,281
Product_434,463.43,12
Product_435,124.98,14
Product_436,456.21,77
Product_437,587.47,31
Product_438,407.43,55
Product_439,303.74,108
Product_440,714.84,253
Product_441,526.73,306
Product_442,315.09,347
Product_443,656.85,320
Product_444,802.64,464
Product_445,365.99,148
Product_446,977.88,411
Product_447,271.95,253
Product_448,381.23,65
Product_449,338.45,313
Product_450,387.61,408
Product_451,939.3,411
Product_452,461.14,486
Product_453,190.99,71
Product_454,594.48,93
Product_455,301.09,474
Product_456,879.83,298
Product_457,513.97,179
Product_458,605.25,201
Product_459,602.94,328
Product_460,16.65,381
Product_461,422.0,413
Product_462,721.73,224
Product_463,982.67,346
Product_464,573.87,305
Product_465,344.46,369
Product_466,721.41,323
Product_467,677.72,176
Product_468,110.82,160
Product_469,234.02,222
Product_470,93.51,160
Product_471,236.76,264
Product_472,813.22,138
Product_473,612.83,439
Product_474,538.91,248
Product_475,982.38,369
Product_476,390.49,37
Product_477,817.94,417
Product_478,949.87,209
Product_479,223.32,451
Product_480,305.85,256
Product_481,922.81,25
Product_482,527.6,260
Product_483,487.37,312
Product_484,775.76,53
Product_485,444.48,24
Product_486,890.18,269
Product_487,463.91,50
Product_488,555.65,469
Product_489,197.66,424
Product_490,301.69,42
Product_491,722.94,365
Product_492,432.84,294
Product_493,812.9,87
Product_494,816.14,291
Product_495,427.44,67
Product_496,467.38,386
Product_497,73.27,12
Product_498,834.06,181
Product_499,842.42,446
Product_500,560.39,251
Product_501,321.87,280
Product_502,979.17,122
Product_503,151.7,135
Product_504,682.42,396
Product_505,111.17,17
Product_506,703.64,92
Product_507,426.96,453
Product_508,109.12,458
Product_509,238.68,324
Product_510,718.33,154
Product_511,798.31,298
Product_512,803.77,181
Product_513,68.32,483
Product_514,370.63,439
Product_515,950.43,337
Product_516,583.1,403
Product_517,219.2,71
Product_518,493.62,247
Product_519,639.48,203
Product_520,190.99,17
Product_521,780.79,313
Product_522,959.37,309
Product_523,786.7,119
Product_524,724.36,135
Product_525,243.9,147
Product_526,446.44,284
Product_527,349.83,297
Product_528,955.87,6
Product_529,401.35,443
Product_530,737.71,335
Product_531,991.73,28
Product_532,214.81,264
Product_533,930.29,441
Product_534,456.7,203
Product_535,98.71,378
Product_536,662.46,378
Product_537,455.83,393
Product_538,211.31,194
Product_539,437.43,288
Product_540,103.29,30
Product_541,753.24,413
Product_542,363.89,246
Product_543,398.43,474
Product_544,252.94,193
Product_545,261.21,365
Product_546,907.59,179
Product_547,30.03,480
Product_548,13.94,479
Product_549,183.08,364
Product_550,902.26,209
Product_551,512.55,336
Product_552,236.57,261
Product_553,119.54,433
Product_554,755.73,188
Product_555,652.34,497
Product_556,627.3,187
Product_557,653.53,325
Product_558,541.72,351
Product_559,728.14,182
Product_560,804.52,231
Product_561,211.62,101
Product_562,100.81,424
Product_563,216.81,108
Product_564,180.27,310
Product_565,998.19,390
Product_566,507.34,218
Product_567,259.33,391
Product_568,882.96,468
Product_569,232.16,104
Product_570,834.62,76
Product_571,175.87,205
Product_572,683.24,377
Product_573,402.81,177
Product_574,537.08,178
Product_575,848.89,171
Product_576,212.12,431
Product_577,253.98,310
Product_578,258.64,125
Product_579,110.96,299
Product_580,578.06,203
Product_581,723.05,176
Product_582,148.77,144
Product_583,561.26,314
Product_584,586.61,111
Product_585,19.41,385
Product_586,220.49,252
Product_587,432.34,114
Product_588,506.47,373
Product_589,177.91,434
Product_590,792.67,112
Product_591,955.0,458
Product_592,274.6,197
Product_593,39.03,251
Product_594,341.41,11
Product_595,333.33,429
Product_596,640.85,378
Product_597,18.06,373
Product_598,552.38,383
Product_599,381.26,137
Product_600,508.5,358
Product_601,209.14,288
Product_602,933.27,299
Product_603,266.56,80
Product_604,543.03,496
Product_605,831.27,412
Product_606,417.52,336
Product_607,310.55,41
Product_608,695.09,303
Product_609,907.15,110
Product_610,295.98,145
Product_611,366.51,226
Product_612,131.67,182
Product_613,41.23,142
Product_614,668.03,439
Product_615,276.69,157
Product_616,384.9,187
Product_617,92.01,3
Product_618,441.64,450
Product_619,754.25,73
Product_620,974.13,461
Product_621,967.26,494
Product_622,724.35,67
Product_623,36.55,217
Product_624,19.85,110
Product_625,555.85,106
Product_626,494.45,415
Product_627,246.7,495
Product_628,373.04,119
Product_629,558.37,373
Product_630,482.66,463
Product_631,198.94,142
Product_632,665.5,96
Product_633,659.61,90
Product_634,718.61,355
Product_635,812.26,272
Product_636,837.48,412
Product_637,62.74,287
Product_638,712.42,38
Product_639,438.79,201
Product_640,885.37,51
Product_641,901.51,83
Product_642,444.3,360
Product_643,388.81,481
Product_644,145.0,104
Product_645,113.14,54
Product_646,844.96,58
Product_647,698.25,363
Product_648,695.78,283
Product_649,769.94,28
Product_650,996.0,366
Product_651,754.0,21
Product_652,652.43,245
Product_653,468.39,17
Product_654,293.93,83
Product_655,685.8,97
Product_656,588.55,429
Product_657,208.42,437
Product_658,810.23,447
Product_659,430.22,362
Product_660,268.64,407
Product_661,726.27,420
Product_662,475.22,272
Product_663,643.34,170
Product_664,394.46,500
Product_665,869.21,235
Product_666,529.29,388
Product_667,969.53,81
Product_668,359.99,162
Product_669,816.63,326
Product_670,209.21,345
Product_671,580.15,282
Product_672,478.43,267
Product_673,727.93,286
Product_674,240.15,29
Product_675,386.2,42
Product_676,602.56,280
Product_677,250.41,382
Product_678,505.25,234
Product_679,766.11,443
Product_680,798.54,213
Product_681,170.66,423
Product_682,275.01,382
Product_683,887.67,335
Product_684,995.89,401
Product_685,878.65,437
Product_686,440.78,66
Product_687,91.07,423
Product_688,97.89,344
Product_689,938.21,491
Product_690,537.5,354
Product_691,365.67,24
Product_692,814.69,26
Product_693,933.16,327
Product_694,134.24,363
Product_695,625.28,457
Product_696,625.77,133
Product_697,438.15,100
Product_698,467.9,354
Product_699,220.88,41
Product_700,853.42,156
Product_701,360.49,486
Product_702,908.5,461
Product_703,858.08,497
Product_704,942.71,417
Product_705,674.23,97
Product_706,806.34,187
Product_707,932.83,37
Product_708,462.93,258
Product_709,677.87,387
Product_710,394.03,314
Product_711,227.94,307
Product_712,283.32,430
Product_713,29.52,442
Product_714,779.79,64
Product_715,788.17,102
Product_716,859.46,60
Product_717,429.88,204
Product_718,333.94,379
Product_719,714.66,276
Product_720,499.17,355
Product_721,496.67,93
Product_722,735.15,479
Product_723,558.61,15
Product_724,724.18,308
Product_725,771.5,7
Product_726,709.33,365
Product_727,985.01,285
Product_728,497.59,94
Product_729,410.58,70
Product_730,329.46,73
Product_731,75.03,346
Product_732,938.97,450
Product_733,487.65,20
Product_734,738.29,290
Product_735,446.74,421
Product_736,440.91,300
Product_737,430.72,483
Product_738,83.59,65
Product_739,534.91,10
Product_740,181.17,483
Product_741,956.93,461
Product_742,276.62,392
Product_743,425.85,280
Product_744,496.34,295
Product_745,270.02,412
Product_746,621.81,156
Product_747,204.77,29
Product_748,559.95,377
Product_749,663.62,482
Product_750,510.49,398
Product_751,144.36,221
Product_752,579.54,432
Product_753,867.23,37
Product_754,289.03,200
Product_755,802.73,315
Product_756,457.47,361
Product_757,688.51,145
Product_758,393.18,17
Product_759,248.99,400
Product_760,15.04,341
Product_761,778.75,195
Product_762,192.06,242
Product_763,681.52,496
Product_764,975.13,139
Product_765,723.63,287
Product_766,831.76,282
Product_767,237.54,276
Product_768,124.52,474
Product_769,956.88,350
Product_770,413.32,454
Product_771,850.26,465
Product_772,227.97,355
Product_773,920.73,277
Product_774,994.65,168
Product_775,97.78,331
Product_776,45.41,112
Product_777,602.03,195
Product_778,639.84,229
Product_779,523.12,80
Product_780,943.39,124
Product_781,215.31,59
Product_782,238.41,195
Product_783,160.44,111
Product_784,732.92,462
Product_785,72.22,478
Product_786,833.21,135
Product_787,95.58,397
Product_788,813.28,339
Product_789,64.92,196
Product_790,281.2,75
Product_791,685.3,326
Product_792,183.39,380
Product_793,947.94,350
Product_794,649.85,152
Product_795,300.42,181
Product_796,606.72,222
Product_797,670.93,493
Product_798,567.88,430
Product_799,892.49,194
Product_800,124.99,241
Product_801,439.16,107
Product_802,876.55,409
Product_803,732.19,299
Product_804,740.16,246
Product_805,593.43,126
Product_806,141.78,486
Product_807,506.57,475
Product_808,76.23,164
Product_809,126.61,29
Product_810,716.42,57
Product_811,829.04,492
Product_812,856.77,49
Product_813,281.88,463
Product_814,289.59,266
Product_815,322.22,294
Product_816,513.81,33
Product_817,286.48,251
Product_818,759.33,260
Product_819,84.22,450
Product_820,65.94,201
Product_821,640.46,166
Product_822,272.71,271
Product_823,880.72,449
Product_824,718.36,343
Product_825,624.15,203
Product_826,582.89,271
Product_827,700.2,468
Product_828,632.81,153
Product_829,936.31,168
Product_830,281.07,130
Product_831,750.62,284
Product_832,799.69,393
Product_833,960.35,465
Product_834,353.54,412
Product_835,932.16,67
Product_836,189.01,192
Product_837,332.83,441
Product_838,372.57,146
Product_839,607.06,325
Product_840,287.25,499
Product_841,862.57,443
Product_842,787.98,160
Product_843,43.33,472
Product_844,276.36,348
Product_845,141.93,43
Product_846,736.7,358
Product_847,281.4,314
Product_848,561.7,299
Product_849,447.21,65
Product_850,415.42,353
Product_851,397.8,220
Product_852,363.36,138
Product_853,280.72,180
Product_854,468.23,161
Product_855,582.21,227
Product_856,710.41,481
Product_857,78.13,452
Product_858,740.91,239
Product_859,374.44,187
Product_860,595.36,13
Product_861,734.59,41
Product_862,977.28,129
Product_863,158.64,138
Product_864,218.7,401
Product_865,391.89,473
Product_866,569.99,417
Product_867,254.98,348
Product_868,375.01,487
Product_869,981.92,375
Product_870,53.53,476
Product_871,975.02,29
Product_872,602.87,375
Product_873,72.35,188
Product_874,633.15,269
Product_875,414.28,11
Product_876,382.07,270
Product_877,148.49,311
Product_878,55.17,478
Product_879,881.49,127
Product_880,785.22,394
Product_881,808.25,420
Product_882,576.67,197
Product_883,543.94,186
Product_884,109.04,438
Product_885,854.15,26
Product_886,942.86,105
Product_887,204.75,372
Product_888,677.1,60
Product_889,355.69,398
Product_890,103.76,183
Product_891,991.06,101
Product_892,708.75,284
Product_893,964.83,65
Product_894,376.23,53
Product_895,717.33,59
Product_896,667.72,386
Product_897,412.04,23
Product_898,881.23,343
Product_899,850.31,94
Product_900,884.72,409
Product_901,634.17,370
Product_902,263.59,314
Product_903,641.02,107
Product_904,765.43,357
Product_905,72.19,316
Product_906,134.11,410
Product_907,936.11,77
Product_908,872.25,77
Product_909,984.71,26
Product_910,884.93,273
Product_911,923.3,9
Product_912,946.4,489
Product_913,380.47,162
Product_914,135.7,448
Product_915,303.74,54
Product_916,826.83,214
Product_917,647.02,241
Product_918,44.3,386
Product_919,55.46,227
Product_920,966.14,134
Product_921,943.16,212
Product_922,394.68,295
Product_923,570.82,11
Product_924,582.81,403
Product_925,583.75,267
Product_926,455.84,425
Product_927,598.03,89
Product_928,283.89,163
Product_929,710.56,483
Product_930,512.04,290
Product_931,184.53,433
Product_932,414.18,242
Product_933,533.74,432
Product_934,996.43,175
Product_935,251.12,195
Product_936,556.84,87
Product_937,644.04,202
Product_938,683.37,309
Product_939,567.79,207
Product_940,950.09,366
Product_941,716.75,444
Product_942,408.71,367
Product_943,784.82,154
Product_944,521.5,365
Product_945,227.71,399
Product_946,941.1,268
Product_947,529.35,91
Product_948,695.17,154
Product_949,793.65,277
Product_950,992.17,106
Product_951,961.54,469
Product_952,510.03,412
Product_953,58.82,3
Product_954,69.41,430
Product_955,522.71,442
Product_956,817.79,203
Product_957,572.09,213
Product_958,234.31,58
Product_959,588.59,78
Product_960,422.25,53
Product_961,739.86,58
Product_962,301.03,369
Product_963,672.09,478
Product_964,351.67,315
Product_965,118.6,61
Product_966,258.59,307
Product_967,61.58,147
Product_968,334.64,389
Product_969,203.42,75
Product_970,908.2,205
Product_971,728.72,85
Product_972,998.14,315
Product_973,939.99,197
Product_974,979.68,64
Product_975,159.42,237
Product_976,665.67,179
Product_977,240.97,151
Product_978,154.96,160
Product_979,205.11,48
Product_980,740.02,249
Product_981,266.14,250
Product_982,522.5,391
Product_983,60.08,89
Product_984,836.16,308
Product_985,534.84,396
Product_986,134.58,101
Product_987,43.27,330
Product_988,364.86,234
Product_989,216.0,129
Product_990,494.63,344
Product_991,599.23,357
Product_992,162.42,228
Product_993,38.03,438
Product_994,442.14,162
Product_995,476.61,418
Product_996,927.45,76
Product_997,732.71,274
Product_998,687.73,471
Product_999,588.4,260
Product_1000,38.09,167
Product_1001,553.06,35
Product_1002,582.73,118
Product_1003,491.47,2
Product_1004,972.19,392
Product_1005,244.4,143
Product_1006,450.28,474
Product_1007,79.86,258
Product_1008,545.11,220
Product_1009,477.96,275
Product_1010,975.54,458
Product_1011,995.43,19
Product_1012,999.82,223
Product_1013,348.55,239
Product_1014,578.79,202
Product_1015,384.42,158
Product_1016,704.89,385
Product_1017,234.89,267
Product_1018,772.27,144
Product_1019,229.62,300
Product_1020,806.42,63
Product_1021,839.21,375
Product_1022,785.85,66
Product_1023,148.95,352
Product_1024,826.05,174
Product_1025,31.05,132
Product_1026,648.11,294
Product_1027,560.23,175
Product_1028,818.07,383
Product_1029,717.03,464
Product_1030,692.65,256
Product_1031,522.45,447
Product_1032,517.25,210
Product_1033,723.41,95
Product_1034,384.2,9
Product_1035,968.47,31
Product_1036,273.68,3
Product_1037,946.44,176
Product_1038,396.56,342
Product_1039,657.81,280
Product_1040,414.93,212
Product_1041,644.87,27
Product_1042,782.03,167
Product_1043,763.46,386
Product_1044,322.32,405
Product_1045,140.35,480
Product_1046,42.85,305
Product_1047,601.48,477
Product_1048,386.05,205
Product_1049,432.15,67
Product_1050,82.44,47
Product_1051,882.27,58
Product_1052,687.99,51
Product_1053,976.54,252
Product_1054,901.03,286
Product_1055,751.07,37
Product_1056,422.58,432
Product_1057,276.42,73
Product_1058,774.09,104
Product_1059,478.47,472
Product_1060,434.95,201
Product_1061,574.01,55
Product_1062,78.7,54
Product_1063,387.65,119
Product_1064,634.0,318
Product_1065,948.05,217
Product_1066,663.97,372
Product_1067,334.24,213
Product_1068,930.77,158
Product_1069,225.14,457
Product_1070,540.14,360
Product_1071,522.12,240
Product_1072,204.78,246
Product_1073,704.71,209
Product_1074,554.8,482
Product_1075,670.76,366
Product_1076,631.16,10
Product_1077,52.35,476
Product_1078,291.67,33
Product_1079,692.95,473
Product_1080,176.62,32
Product_1081,949.07,277
Product_1082,545.35,295
Product_1083,44.89,129
Product_1084,877.72,73
Product_1085,274.16,286
Product_1086,983.58,384
Product_1087,104.45,144
Product_1088,520.66,90
Product_1089,758.39,288
Product_1090,91.04,340
Product_1091,714.15,243
Product_1092,120.74,212
Product_1093,420.17,390
Product_1094,42.4,476
Product_1095,177.91,373
Product_1096,760.25,352
Product_1097,178.82,346
Product_1098,790.16,57
Product_1099,789.2,43
Product_1100,526.53,391
Product_1101,218.18,379
Product_1102,803.72,318
Product_1103,548.18,495
Product_1104,622.09,200
Product_1105,781.8,124
Product_1106,854.76,37
Product_1107,65.04,180
Product_1108,752.45,448
Product_1109,356.82,319
Product_1110,459.4,345
Product_1111,413.12,247
Product_1112,166.59,33
Product_1113,38.99,135
Product_1114,899.69,255
Product_1115,794.02,371
Product_1116,865.85,194
Product_1117,856.69,459
Product_1118,621.08,500
Product_1119,371.64,279
Product_1120,941.05,406
Product_1121,801.79,161
Product_1122,369.11,76
Product_1123,721.27,189
Product_1124,378.58,58
Product_1125,581.76,455
Product_1126,377.64,71
Product_1127,379.75,94
Product_1128,392.0,222
Product_1129,366.59,371
Product_1130,346.26,332
Product_1131,298.7,257
Product_1132,840.51,351
Product_1133,910.36,341
Product_1134,57.37,371
Product_1135,153.71,439
Product_1136,798.5,206
Product_1137,414.22,268
Product_1138,407.48,136
Product_1139,491.25,73
Product_1140,913.31,375
Product_1141,732.76,16
Product_1142,400.0,3
Product_1143,38.11,348
Product_1144,847.79,480
Product_1145,164.66,319
Product_1146,963.57,456
Product_1147,665.4,460
Product_1148,435.0,219
Product_1149,230.88,66
Product_1150,42.87,77
Product_1151,702.46,192
Product_1152,455.77,34
Product_1153,387.48,327
Product_1154,213.1,177
Product_1155,697.47,72
Product_1156,92.55,88
Product_1157,827.14,440
Product_1158,262.22,161
Product_1159,438.1,362
Product_1160,153.9,127
Product_1161,93.09,483
Product_1162,746.28,481
Product_1163,142.86,491
Product_1164,946.68,111
Product_1165,18.4,132
Product_1166,140.6,416
Product_1167,569.86,161
Product_1168,272.63,205
Product_1169,44.6,448
Product_1170,465.52,223
Product_1171,188.8,281
Product_1172,901.54,457
Product_1173,354.33,453
Product_1174,506.18,159
Product_1175,825.28,185
Product_1176,156.44,330
Product_1177,876.17,359
Product_1178,212.49,37
Product_1179,707.12,317
Product_1180,767.95,116
Product_1181,425.51,338
Product_1182,645.34,482
Product_1183,269.12,78
Product_1184,899.59,198
Product_1185,972.05,94
Product_1186,206.28,126
Product_1187,292.95,343
Product_1188,502.21,282
Product_1189,429.72,361
Product_1190,106.47,75
Product_1191,11.83,340
Product_1192,526.21,50
Product_1193,489.45,214
Product_1194,815.77,151
Product_1195,410.47,212
Product_1196,553.51,35
Product_1197,203.61,485
Product_1198,481.58,496
Product_1199,406.04,150
Product_1200,667.86,453
Product_1201,826.99,353
Product_1202,760.86,399
Product_1203,466.62,50
Product_1204,104.39,68
Product_1205,867.47,116
Product_1206,66.58,125
Product_1207,344.92,53
Product_1208,858.87,363
Product_1209,603.18,376
Product_1210,813.99,362
Product_1211,761.81,59
Product_1212,250.69,162
Product_1213,872.02,174
Product_1214,985.24,98
Product_1215,945.17,211
Product_1216,519.53,497
Product_1217,838.27,237
Product_1218,556.05,52
Product_1219,614.34,45
Product_1220,70.53,20
Product_1221,214.18,500
Product_1222,805.08,131
Product_1223,115.79,91
Product_1224,111.31,299
Product_1225,969.8,123
Product_1226,919.81,398
Product_1227,826.62,445
Product_1228,83.83,5
Product_1229,213.12,113
Product_1230,24.91,418
Product_1231,437.14,73
Product_1232,219.29,204
Product_1233,488.68,397
Product_1234,928.07,326
Product_1235,523.42,403
Product_1236,374.18,215
Product_1237,852.88,211
Product_1238,292.21,410
Product_1239,892.52,456
Product_1240,513.71,442
Product_1241,260.88,222
Product_1242,70.1,315
Product_1243,412.51,450
Product_1244,785.85,460
Product_1245,392.38,87
Product_1246,971.03,15
Product_1247,366.67,387
Product_1248,116.31,7
